nodename,batch,solution,version,git,task,data,timestamp,action,stderr
mr-0xc11,1543944580,pydatatable,0.7.0,ae72dc77bed30f8135f2f6880dba3c4a5d425a1d,groupby,G1_1e7_1e1_0_0,1543946956.46122,skip,0
mr-0xc11,1543944580,pydatatable,0.7.0,ae72dc77bed30f8135f2f6880dba3c4a5d425a1d,groupby,G1_1e8_1e1_0_0,1543946956.47121,start,
mr-0xc11,1543944580,pydatatable,0.7.0,ae72dc77bed30f8135f2f6880dba3c4a5d425a1d,groupby,G1_1e8_1e1_0_0,1543947078.99644,finish,0
mr-0xc11,1543944580,pydatatable,0.7.0,ae72dc77bed30f8135f2f6880dba3c4a5d425a1d,groupby,G1_1e7_2e0_0_0,1543947079.0067,skip,0
mr-0xc11,1543944580,pydatatable,0.7.0,ae72dc77bed30f8135f2f6880dba3c4a5d425a1d,groupby,G1_1e8_2e0_0_0,1543947079.01597,start,
mr-0xc11,1543944580,pydatatable,0.7.0,ae72dc77bed30f8135f2f6880dba3c4a5d425a1d,groupby,G1_1e8_2e0_0_0,1543947235.58239,finish,0
mr-0xc11,1543944580,pydatatable,0.7.0,ae72dc77bed30f8135f2f6880dba3c4a5d425a1d,groupby,G1_1e7_1e2_0_1,1543947235.59169,skip,0
mr-0xc11,1543944580,pydatatable,0.7.0,ae72dc77bed30f8135f2f6880dba3c4a5d425a1d,groupby,G1_1e8_1e2_0_1,1543947235.59975,start,
mr-0xc11,1543944580,pydatatable,0.7.0,ae72dc77bed30f8135f2f6880dba3c4a5d425a1d,groupby,G1_1e8_1e2_0_1,1543947318.98406,finish,0
mr-0xc11,1543944580,spark,2.4.0,,groupby,G1_1e7_1e2_0_0,1543947318.99783,skip,2
mr-0xc11,1543944580,spark,2.4.0,,groupby,G1_1e8_1e2_0_0,1543947319.00629,start,
mr-0xc11,1543944580,spark,2.4.0,,groupby,G1_1e8_1e2_0_0,1543947457.66133,finish,2
mr-0xc11,1543944580,spark,2.4.0,,groupby,G1_1e7_1e1_0_0,1543947457.67414,skip,2
mr-0xc11,1543944580,spark,2.4.0,,groupby,G1_1e8_1e1_0_0,1543947457.68462,start,
mr-0xc11,1543944580,spark,2.4.0,,groupby,G1_1e8_1e1_0_0,1543947614.49841,finish,2
mr-0xc11,1543944580,spark,2.4.0,,groupby,G1_1e7_2e0_0_0,1543947614.5139,skip,2
mr-0xc11,1543944580,spark,2.4.0,,groupby,G1_1e8_2e0_0_0,1543947614.52521,start,
mr-0xc11,1543944580,spark,2.4.0,,groupby,G1_1e8_2e0_0_0,1543947776.94491,finish,2
mr-0xc11,1543944580,spark,2.4.0,,groupby,G1_1e7_1e2_0_1,1543947776.95971,skip,2
mr-0xc11,1543944580,spark,2.4.0,,groupby,G1_1e8_1e2_0_1,1543947776.9694,start,
mr-0xc11,1543944580,spark,2.4.0,,groupby,G1_1e8_1e2_0_1,1543947908.66834,finish,2
mr-0xc11,1543944580,dask,1.0.0,38676863a6ae336bcb307a29a521de32480722b0,groupby,G1_1e7_1e2_0_0,1543947908.68434,skip,0
mr-0xc11,1543944580,dask,1.0.0,38676863a6ae336bcb307a29a521de32480722b0,groupby,G1_1e8_1e2_0_0,1543947908.69548,start,
mr-0xc11,1543944580,dask,1.0.0,38676863a6ae336bcb307a29a521de32480722b0,groupby,G1_1e8_1e2_0_0,1543948645.70188,finish,0
mr-0xc11,1543944580,dask,1.0.0,38676863a6ae336bcb307a29a521de32480722b0,groupby,G1_1e7_1e1_0_0,1543948645.71595,skip,0
mr-0xc11,1543944580,dask,1.0.0,38676863a6ae336bcb307a29a521de32480722b0,groupby,G1_1e8_1e1_0_0,1543948645.72491,start,
mr-0xc11,1543944580,dask,1.0.0,38676863a6ae336bcb307a29a521de32480722b0,groupby,G1_1e8_1e1_0_0,1543950051.23998,finish,0
mr-0xc11,1543944580,dask,1.0.0,38676863a6ae336bcb307a29a521de32480722b0,groupby,G1_1e7_2e0_0_0,1543950051.25418,skip,0
mr-0xc11,1543944580,dask,1.0.0,38676863a6ae336bcb307a29a521de32480722b0,groupby,G1_1e8_2e0_0_0,1543950051.26454,start,
mr-0xc11,1543944580,dask,1.0.0,38676863a6ae336bcb307a29a521de32480722b0,groupby,G1_1e8_2e0_0_0,1543952179.44375,finish,0
mr-0xc11,1543944580,dask,1.0.0,38676863a6ae336bcb307a29a521de32480722b0,groupby,G1_1e7_1e2_0_1,1543952179.45794,skip,0
mr-0xc11,1543944580,dask,1.0.0,38676863a6ae336bcb307a29a521de32480722b0,groupby,G1_1e8_1e2_0_1,1543952179.46795,start,
mr-0xc11,1543944580,dask,1.0.0,38676863a6ae336bcb307a29a521de32480722b0,groupby,G1_1e8_1e2_0_1,1543952890.75033,finish,0
mr-0xc11,1544008625,data.table,1.11.9,a3dafe34d6a2f42e80e19c73178e76bd2ae2724d,groupby,G1_1e7_1e2_0_0,1544008893.02327,start,
mr-0xc11,1544008625,data.table,1.11.9,a3dafe34d6a2f42e80e19c73178e76bd2ae2724d,groupby,G1_1e7_1e2_0_0,1544008900.89793,finish,0
mr-0xc11,1544008625,data.table,1.11.9,a3dafe34d6a2f42e80e19c73178e76bd2ae2724d,groupby,G1_1e8_1e2_0_0,1544008900.91167,start,
mr-0xc11,1544008625,data.table,1.11.9,a3dafe34d6a2f42e80e19c73178e76bd2ae2724d,groupby,G1_1e8_1e2_0_0,1544008968.0139,finish,0
mr-0xc11,1544008625,data.table,1.11.9,a3dafe34d6a2f42e80e19c73178e76bd2ae2724d,groupby,G1_1e9_1e2_0_0,1544008968.0334,start,
mr-0xc11,1544008625,data.table,1.11.9,a3dafe34d6a2f42e80e19c73178e76bd2ae2724d,groupby,G1_1e9_1e2_0_0,1544009747.52942,finish,0
mr-0xc11,1544008625,data.table,1.11.9,a3dafe34d6a2f42e80e19c73178e76bd2ae2724d,groupby,G1_1e7_1e1_0_0,1544009747.54397,start,
mr-0xc11,1544008625,data.table,1.11.9,a3dafe34d6a2f42e80e19c73178e76bd2ae2724d,groupby,G1_1e7_1e1_0_0,1544009758.1727,finish,0
mr-0xc11,1544008625,data.table,1.11.9,a3dafe34d6a2f42e80e19c73178e76bd2ae2724d,groupby,G1_1e8_1e1_0_0,1544009758.18594,start,
mr-0xc11,1544008625,data.table,1.11.9,a3dafe34d6a2f42e80e19c73178e76bd2ae2724d,groupby,G1_1e8_1e1_0_0,1544009858.85634,finish,0
mr-0xc11,1544008625,data.table,1.11.9,a3dafe34d6a2f42e80e19c73178e76bd2ae2724d,groupby,G1_1e9_1e1_0_0,1544009858.86665,start,
mr-0xc11,1544008625,data.table,1.11.9,a3dafe34d6a2f42e80e19c73178e76bd2ae2724d,groupby,G1_1e9_1e1_0_0,1544011110.08492,finish,0
mr-0xc11,1544008625,data.table,1.11.9,a3dafe34d6a2f42e80e19c73178e76bd2ae2724d,groupby,G1_1e7_2e0_0_0,1544011110.10006,start,
mr-0xc11,1544008625,data.table,1.11.9,a3dafe34d6a2f42e80e19c73178e76bd2ae2724d,groupby,G1_1e7_2e0_0_0,1544011129.23675,finish,0
