nodename,batch,timestamp,task,data,in_rows,question,out_rows,out_cols,solution,version,git,fun,run,time_sec,mem_gb,cache,chk,chk_time_sec,comment
mr-0xc11,1544889852,1544927300.758861,groupby,G1_1e7_1e2_0_0,10000000,sum v1 mean v3 by id3,100000,2,pandas,0.23.4,,.groupby,2,0.378,0.448,TRUE,30001016;5065689.539,0.001,
mr-0xc11,1544889852,1544927301.1655514,groupby,G1_1e7_1e2_0_0,10000000,mean v1:v3 by id4,100,3,pandas,0.23.4,,.groupby,1,0.397,0.448,TRUE,300.01;299.98;5065.702,0.001,
mr-0xc11,1544889852,1544927301.5716605,groupby,G1_1e7_1e2_0_0,10000000,mean v1:v3 by id4,100,3,pandas,0.23.4,,.groupby,2,0.396,0.448,TRUE,300.01;299.98;5065.702,0.001,
mr-0xc11,1544889852,1544927302.7184594,groupby,G1_1e7_1e2_0_0,10000000,sum v1:v3 by id6,100000,3,pandas,0.23.4,,.groupby,1,1.136,0.448,TRUE,30001016;29998058;506570021.5,0.001,
mr-0xc11,1544889852,1544927303.8717403,groupby,G1_1e7_1e2_0_0,10000000,sum v1:v3 by id6,100000,3,pandas,0.23.4,,.groupby,2,1.142,0.448,TRUE,30001016;29998058;506570021.5,0.001,
mr-0xc11,1544889852,1544927319.834724,groupby,G1_1e7_1e1_0_0,10000000,sum v1 by id1,10,1,pandas,0.23.4,,.groupby,1,0.141,0.964,TRUE,30001016,0.0,
mr-0xc11,1544889852,1544927320.0305276,groupby,G1_1e7_1e1_0_0,10000000,sum v1 by id1,10,1,pandas,0.23.4,,.groupby,2,0.144,0.963,TRUE,30001016,0.0,
mr-0xc11,1544889852,1544927320.4446912,groupby,G1_1e7_1e1_0_0,10000000,sum v1 by id1:id2,100,1,pandas,0.23.4,,.groupby,1,0.405,0.958,TRUE,30001016,0.0,
mr-0xc11,1544889852,1544927320.8688056,groupby,G1_1e7_1e1_0_0,10000000,sum v1 by id1:id2,100,1,pandas,0.23.4,,.groupby,2,0.414,0.958,TRUE,30001016,0.0,
mr-0xc11,1544889852,1544927322.2837179,groupby,G1_1e7_1e1_0_0,10000000,sum v1 mean v3 by id3,999951,2,pandas,0.23.4,,.groupby,1,1.398,0.994,TRUE,30001016;50649180.662,0.007,
mr-0xc11,1544889852,1544927323.6060734,groupby,G1_1e7_1e1_0_0,10000000,sum v1 mean v3 by id3,999951,2,pandas,0.23.4,,.groupby,2,1.303,0.997,TRUE,30001016;50649180.662,0.007,
mr-0xc11,1544889852,1544927324.0135715,groupby,G1_1e7_1e1_0_0,10000000,mean v1:v3 by id4,10,3,pandas,0.23.4,,.groupby,1,0.395,0.958,TRUE,30.001;29.998;506.57,0.001,
mr-0xc11,1544889852,1544927324.4151168,groupby,G1_1e7_1e1_0_0,10000000,mean v1:v3 by id4,10,3,pandas,0.23.4,,.groupby,2,0.392,0.958,TRUE,30.001;29.998;506.57,0.001,
mr-0xc11,1544889852,1544927326.394674,groupby,G1_1e7_1e1_0_0,10000000,sum v1:v3 by id6,999969,3,pandas,0.23.4,,.groupby,1,1.96,0.997,TRUE,30001016;29998058;506570021.499,0.01,
